epoch,loss,precision
1,3.087614059448242,0.6897995471954346
2,3.0533485412597656,0.761938214302063
3,3.0399105548858643,0.7634455561637878
4,3.0298092365264893,0.7554139494895935
5,3.0180201530456543,0.7331552505493164
6,2.992753028869629,0.7086449861526489
7,2.967463970184326,0.6946399211883545
8,2.9384078979492188,0.6545745134353638
9,2.888765573501587,0.6152275204658508
10,2.832761287689209,0.5774433612823486
11,2.7679872512817383,0.5563170909881592
12,2.6917548179626465,0.5448610782623291
13,2.6098294258117676,0.547419548034668
14,2.5301451683044434,0.5498496294021606
15,2.45237135887146,0.5535603761672974
16,2.3759686946868896,0.5622491240501404
17,2.3085696697235107,0.5688494443893433
18,2.235477924346924,0.5776870846748352
19,2.16799259185791,0.5869203805923462
20,2.115000009536743,0.5970823168754578
21,2.0688109397888184,0.601800799369812
22,2.012176990509033,0.6095454096794128
23,1.9561634063720703,0.6189788579940796
24,1.9190846681594849,0.6258615851402283
25,1.8744996786117554,0.6312655806541443
26,1.8339780569076538,0.6393429040908813
27,1.800045371055603,0.645156741142273
28,1.7692961692810059,0.6499979496002197
29,1.7330117225646973,0.6578636169433594
30,1.7041292190551758,0.6636262536048889
