epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.805208683013916,0.27359867095947266,0.2735229730606079,1.0,1.1533360481262207,0.25968751311302185,0.2592245042324066,1.0
2,1.68696928024292,0.27370285987854004,0.2735042870044708,0.9996190667152405,1.0465993881225586,0.26124998927116394,0.2594797909259796,0.9987937211990356
3,1.589237093925476,0.27547407150268555,0.2737535238265991,0.9977142810821533,0.9553350210189819,0.265625,0.2603214681148529,0.9963811635971069
4,1.5158101320266724,0.280058354139328,0.2740693986415863,0.9900952577590942,0.8827689290046692,0.2709375023841858,0.2602040767669678,0.9843184351921082
5,1.4650585651397705,0.29131069779396057,0.27443569898605347,0.9679999947547913,0.8266827464103699,0.28999999165534973,0.26148760318756104,0.9541616439819336
6,1.432608962059021,0.3089185357093811,0.2740699052810669,0.9260952472686768,0.7856287360191345,0.30562499165534973,0.2560420334339142,0.8817852735519409
7,1.4131418466567993,0.3342362940311432,0.2739281952381134,0.8689523935317993,0.7558087706565857,0.3409374952316284,0.259398490190506,0.8323280811309814
8,1.4020099639892578,0.35830381512641907,0.27369365096092224,0.8140952587127686,0.7347057461738586,0.36906251311302185,0.25852271914482117,0.7683956623077393
9,1.3958706855773926,0.38487184047698975,0.27370601892471313,0.7554285526275635,0.7203800678253174,0.3890624940395355,0.25606584548950195,0.7129071354866028
10,1.3924503326416016,0.40216711163520813,0.2741912007331848,0.7200000286102295,0.710949182510376,0.40625,0.25447043776512146,0.6694812774658203
11,1.3904852867126465,0.41852468252182007,0.27254539728164673,0.6746666431427002,0.7035130262374878,0.42093750834465027,0.25,0.6176115870475769
12,1.3893486261367798,0.4360283315181732,0.2716999650001526,0.6320000290870667,0.6987253427505493,0.43687498569488525,0.2493560016155243,0.5838359594345093
13,1.3886137008666992,0.44696810841560364,0.2711922228336334,0.6057142615318298,0.6973914504051208,0.4412499964237213,0.25090909004211426,0.5826296806335449
14,1.388020396232605,0.4551990032196045,0.2700459063053131,0.5824761986732483,0.6942737102508545,0.4534375071525574,0.24753019213676453,0.5440289378166199
15,1.3876032829284668,0.46103355288505554,0.2710280418395996,0.5744761824607849,0.6934279799461365,0.45906248688697815,0.24519774317741394,0.5235223174095154
16,1.3871955871582031,0.46718066930770874,0.2711053788661957,0.5615237951278687,0.6937304735183716,0.4606249928474426,0.24589234590530396,0.5235223174095154
17,1.3868871927261353,0.47155657410621643,0.272710382938385,0.559238076210022,0.6939349174499512,0.46156251430511475,0.24515393376350403,0.518697202205658
18,1.3865832090377808,0.48562201857566833,0.27413052320480347,0.5344761610031128,0.6924191117286682,0.48531249165534973,0.2417929321527481,0.4620024263858795
19,1.3863927125930786,0.5018754005432129,0.2759767174720764,0.5059047341346741,0.6924847364425659,0.5190625190734863,0.25140056014060974,0.4330518841743469
20,1.3861651420593262,0.5431339740753174,0.28131213784217834,0.4312380850315094,0.6921656727790833,0.5318750143051147,0.24906226992607117,0.40048250555992126
21,1.3860509395599365,0.5428214073181152,0.2815365493297577,0.43276190757751465,0.6923596858978271,0.5284374952316284,0.24203337728977203,0.3848009705543518
22,1.3858795166015625,0.5358408093452454,0.28057554364204407,0.4457142949104309,0.6928302049636841,0.5262500047683716,0.24308152496814728,0.39203861355781555
23,1.3856854438781738,0.5450093746185303,0.28322547674179077,0.4335238039493561,0.692852258682251,0.5262500047683716,0.24422933161258698,0.39565742015838623
24,1.385594367980957,0.5400083065032959,0.28308290243148804,0.4449523687362671,0.6936817169189453,0.5240625143051147,0.24745269119739532,0.41013267636299133
25,1.3855092525482178,0.5413627624511719,0.2827097177505493,0.4403809607028961,0.692899763584137,0.5262500047683716,0.24871982634067535,0.41013267636299133
