epoch,loss,precision
1,2.918731212615967,0.7721879482269287
2,2.842506170272827,0.7993208169937134
3,2.7979483604431152,0.7528280019760132
4,2.7501490116119385,0.6797647476196289
5,2.701237201690674,0.6284565925598145
6,2.6188790798187256,0.5812073945999146
7,2.541583776473999,0.5571834444999695
8,2.463264226913452,0.5524562001228333
9,2.3952999114990234,0.5493608713150024
10,2.343593120574951,0.5459179878234863
11,2.2798612117767334,0.5445941090583801
12,2.2224929332733154,0.5480378866195679
13,2.1652002334594727,0.5506865382194519
14,2.129331350326538,0.5530208349227905
15,2.0792062282562256,0.554715633392334
16,2.033614158630371,0.5621994137763977
17,2.0005791187286377,0.564293384552002
18,1.9630974531173706,0.5644224882125854
19,1.9369105100631714,0.5690938830375671
20,1.9017343521118164,0.5725517868995667
21,1.8815467357635498,0.5751754641532898
22,1.8522876501083374,0.5754290819168091
23,1.8281817436218262,0.5812910199165344
24,1.7999961376190186,0.5848001837730408
25,1.7817422151565552,0.5859747529029846
26,1.756356120109558,0.5906198620796204
27,1.7469428777694702,0.5961463451385498
28,1.7281571626663208,0.5968066453933716
29,1.726138949394226,0.5989681482315063
30,1.699545979499817,0.6020330786705017
