epoch,loss,categorical_accuracy,precision,recall
1,2.861211061477661,0.472182959318161,0.7096376419067383,0.2446531504392624
2,2.777445077896118,0.49220120906829834,0.6419000625610352,0.3090883195400238
3,2.700597047805786,0.4950558543205261,0.603305459022522,0.34184950590133667
4,2.6222522258758545,0.5049665570259094,0.5904502868652344,0.36904463171958923
5,2.5371572971343994,0.5126713514328003,0.5840557217597961,0.3933940529823303
6,2.4483160972595215,0.5245283842086792,0.5853033661842346,0.4179717004299164
7,2.366142988204956,0.5350341796875,0.5903618931770325,0.4397125542163849
8,2.2722878456115723,0.5446764230728149,0.5924568772315979,0.4600171744823456
9,2.1891205310821533,0.5560815334320068,0.5995378494262695,0.47829490900039673
10,2.10969877243042,0.5658356547355652,0.6064910888671875,0.494729220867157
11,2.036255121231079,0.5756210684776306,0.6119076609611511,0.5106221437454224
12,1.9715776443481445,0.586431086063385,0.621825635433197,0.5256648659706116
13,1.9067165851593018,0.597165048122406,0.6312362551689148,0.5413251519203186
14,1.8554930686950684,0.6078006029129028,0.6398358345031738,0.5560144186019897
15,1.8149620294570923,0.614073634147644,0.6451449990272522,0.5654284358024597
16,1.769621729850769,0.6220558881759644,0.6516552567481995,0.5753883719444275
17,1.7207595109939575,0.6301365494728088,0.6581594347953796,0.5858136415481567
18,1.7004504203796387,0.6338726282119751,0.660944402217865,0.591572105884552
19,1.6414034366607666,0.6441547274589539,0.6707268953323364,0.6041181683540344
20,1.6156136989593506,0.6497476696968079,0.6748615503311157,0.6112905740737915
21,1.599372148513794,0.6538372039794922,0.6790134906768799,0.6165613532066345
22,1.5586801767349243,0.6589245200157166,0.6838281154632568,0.624069333076477
23,1.539389729499817,0.6625890135765076,0.6866594552993774,0.6291387677192688
24,1.55061936378479,0.6628395915031433,0.6861236095428467,0.6287092566490173
25,1.490101933479309,0.6711350679397583,0.6943265199661255,0.6389689445495605
