Time Difference,# Frequency Deviations,# Occurrences,% Data
0 days 00:05:00,1.0,66353,99.908152
0 days 00:10:00,2.0,11,0.016563
0 days 00:15:00,3.0,1,0.001506
0 days 00:20:00,4.0,1,0.001506
0 days 00:30:00,6.0,1,0.001506
0 days 06:15:00,75.0,1,0.001506
2 days 00:05:00,577.0,41,0.061734
2 days 00:10:00,578.0,3,0.004517
2 days 04:05:00,625.0,2,0.003011
