epoch,loss,categorical_accuracy,precision,recall,val_loss,val_categorical_accuracy,val_precision,val_recall
1,34.31707000732422,0.2134779691696167,0.21314804255962372,0.18827107548713684,13.32219409942627,0.19906866550445557,0.2001744508743286,0.18170350790023804
2,33.32023620605469,0.3268128037452698,0.33189627528190613,0.2968508303165436,11.247171401977539,0.3333736062049866,0.3347460627555847,0.32010143995285034
3,32.40830612182617,0.3915589451789856,0.3955610990524292,0.37358981370925903,9.580221176147461,0.4313109815120697,0.4343707859516144,0.4197162985801697
4,32.27652359008789,0.38908520340919495,0.3911842405796051,0.37753522396087646,10.294620513916016,0.3904343843460083,0.3919859528541565,0.38320115208625793
5,32.06036376953125,0.39504361152648926,0.39660799503326416,0.38756877183914185,10.466797828674316,0.38015487790107727,0.3805096745491028,0.3756994903087616
6,31.824630737304688,0.3940639793872833,0.39488357305526733,0.3890225887298584,9.821494102478027,0.4172739088535309,0.41801658272743225,0.41417396068573
7,31.51807403564453,0.40110936760902405,0.4018175005912781,0.3977589011192322,10.814064979553223,0.3609914481639862,0.3612917959690094,0.3577573001384735
8,31.280168533325195,0.4037441313266754,0.4043198525905609,0.40126144886016846,10.596856117248535,0.37277400493621826,0.37290382385253906,0.37003636360168457
9,30.922658920288086,0.40892866253852844,0.40926793217658997,0.407085657119751,10.231481552124023,0.39417850971221924,0.3942526578903198,0.39252787828445435
10,30.578325271606445,0.41149184107780457,0.4118077754974365,0.4099619686603546,10.717489242553711,0.36634594202041626,0.3666459918022156,0.36516499519348145
11,30.386808395385742,0.41010960936546326,0.41039833426475525,0.4089241921901703,10.945080757141113,0.3531408905982971,0.3531312644481659,0.35194653272628784
12,30.147592544555664,0.416296124458313,0.41644376516342163,0.41510623693466187,10.601208686828613,0.37327054142951965,0.3731094002723694,0.371767520904541
13,29.805484771728516,0.4179378151893616,0.41804927587509155,0.41681504249572754,10.538578033447266,0.37643760442733765,0.37653008103370667,0.37564581632614136
14,29.670461654663086,0.418810099363327,0.4189872145652771,0.41790202260017395,10.728230476379395,0.36609095335006714,0.3660806715488434,0.365245521068573
15,29.409669876098633,0.41838961839675903,0.41855981945991516,0.4175262749195099,10.480244636535645,0.3800743520259857,0.38014715909957886,0.3792288899421692
16,29.16997718811035,0.42340415716171265,0.42355653643608093,0.42255422472953796,10.8665132522583,0.3586564064025879,0.3588009178638458,0.3580256998538971
17,28.966344833374023,0.4241154193878174,0.42434078454971313,0.4233594238758087,10.76640510559082,0.3642256259918213,0.36437588930130005,0.3636619746685028
18,28.678625106811523,0.42772534489631653,0.4279714822769165,0.4271482825279236,10.966293334960938,0.35299327969551086,0.3530091643333435,0.352483332157135
19,28.45501708984375,0.4324222803115845,0.4325878322124481,0.4318273365497589,10.887892723083496,0.356911838054657,0.35699498653411865,0.3563482165336609
20,28.171201705932617,0.43429210782051086,0.4344910681247711,0.4336300492286682,10.949801445007324,0.35405343770980835,0.35401156544685364,0.3535032272338867
21,27.95083236694336,0.43609482049942017,0.43625038862228394,0.4355088472366333,10.782681465148926,0.3632996380329132,0.3634457588195801,0.3628702163696289
22,27.90471649169922,0.4336613714694977,0.433815598487854,0.43311116099357605,10.737649917602539,0.36641302704811096,0.3665013611316681,0.3659701943397522
23,27.685741424560547,0.43924400210380554,0.4393133819103241,0.43869829177856445,11.031210899353027,0.34871238470077515,0.3487200140953064,0.3482426702976227
24,27.376327514648438,0.4410422742366791,0.44119900465011597,0.4406128525733948,11.045169830322266,0.3488599956035614,0.34895098209381104,0.34841713309288025
25,27.192949295043945,0.44316259026527405,0.443247526884079,0.4426705539226532,10.894821166992188,0.3569386899471283,0.35683855414390564,0.3563213646411896
