epoch,loss,categorical_accuracy,precision,recall
1,2.9975922107696533,0.4026067554950714,0.5996840000152588,0.07472169399261475
2,2.9409878253936768,0.41758689284324646,0.5482457876205444,0.1315862536430359
3,2.8684604167938232,0.425815224647522,0.5112910866737366,0.1844775676727295
4,2.773709535598755,0.43880873918533325,0.49863892793655396,0.2360444962978363
5,2.681554079055786,0.4504331052303314,0.5008779764175415,0.27440759539604187
6,2.5867199897766113,0.46953412890434265,0.5166822671890259,0.3138132095336914
7,2.5093741416931152,0.4805455207824707,0.5226962566375732,0.34092333912849426
8,2.4303784370422363,0.49310949444770813,0.5326312780380249,0.36615419387817383
9,2.359772205352783,0.506747305393219,0.5433624982833862,0.3899443447589874
10,2.2840869426727295,0.5194768309593201,0.5552514791488647,0.41394925117492676
11,2.2246830463409424,0.5291727781295776,0.5644303560256958,0.43067437410354614
12,2.173795223236084,0.538698673248291,0.5725851655006409,0.4446030259132385
13,2.1226303577423096,0.5473923683166504,0.5814326405525208,0.4604690968990326
14,2.064443826675415,0.5585290193557739,0.5902981162071228,0.4765230715274811
15,2.020968198776245,0.5673927068710327,0.5991461873054504,0.48982083797454834
16,1.9728641510009766,0.5755494236946106,0.6068783402442932,0.5022327303886414
17,1.9403856992721558,0.5826457738876343,0.6121731996536255,0.5113559365272522
18,1.9019712209701538,0.5896347165107727,0.6197869777679443,0.5231234431266785
19,1.880799651145935,0.5934021472930908,0.6226016283035278,0.5283405780792236
20,1.8466541767120361,0.6003239154815674,0.6282845139503479,0.5380319952964783
21,1.821915864944458,0.6051517724990845,0.6336991786956787,0.5459068417549133
22,1.791416049003601,0.6109371185302734,0.638352632522583,0.553777277469635
23,1.7640475034713745,0.6170132756233215,0.6435167789459229,0.5599876642227173
24,1.7754443883895874,0.6150624752044678,0.6420964002609253,0.5591912269592285
25,1.7257498502731323,0.6241140961647034,0.6499326229095459,0.5718491673469543
