epoch,loss,precision
1,3.060025215148926,0.7405692338943481
2,3.0183916091918945,0.8230379819869995
3,3.0071139335632324,0.827503502368927
4,2.991894483566284,0.8091268539428711
5,2.9796037673950195,0.7659268379211426
6,2.954416036605835,0.7049733400344849
7,2.923269510269165,0.6512612700462341
8,2.8727164268493652,0.5785654783248901
9,2.81136155128479,0.5362094640731812
10,2.74592661857605,0.5126223564147949
11,2.6740996837615967,0.4912665784358978
12,2.5936615467071533,0.4899424612522125
13,2.5155587196350098,0.4897693991661072
14,2.4347524642944336,0.49505531787872314
15,2.3564109802246094,0.5024653077125549
16,2.277028799057007,0.5124098658561707
17,2.2020063400268555,0.51967453956604
18,2.131617546081543,0.5319740772247314
19,2.068838357925415,0.5420384407043457
20,2.0065274238586426,0.5484719276428223
21,1.9500582218170166,0.5568351745605469
22,1.8992180824279785,0.5666729807853699
23,1.8413749933242798,0.5778462290763855
24,1.8030736446380615,0.5885862708091736
25,1.7661769390106201,0.5912585258483887
26,1.7242865562438965,0.6004425883293152
27,1.6895328760147095,0.605958104133606
28,1.6515122652053833,0.6103929281234741
29,1.6239159107208252,0.6195651888847351
30,1.5873624086380005,0.6247620582580566
