epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.3859398365020752,0.5195477604866028,0.3737185597419739,0.5067396759986877,0.6886479258537292,0.5881820917129517,0.3979257643222809,0.3091602921485901
2,1.3819730281829834,0.5327638387680054,0.3842553198337555,0.5071609020233154,0.685454785823822,0.5863732099533081,0.39701172709465027,0.31552162766456604
3,1.3818888664245605,0.5339698195457458,0.38268643617630005,0.49283909797668457,0.6876645088195801,0.5590895414352417,0.3997170031070709,0.4792196750640869
4,1.3809974193572998,0.5510050058364868,0.39265838265419006,0.46559953689575195,0.6897360682487488,0.5324087738990784,0.3903301954269409,0.5614928007125854
5,1.3793346881866455,0.5521607995033264,0.40173473954200745,0.5137602090835571,0.6968122124671936,0.5013566613197327,0.38722696900367737,0.6916878819465637
6,1.3783793449401855,0.5486432313919067,0.39860445261001587,0.5133389234542847,0.6889290809631348,0.5541151762008667,0.4007279872894287,0.5135708451271057
7,1.3771781921386719,0.5497989654541016,0.4007563591003418,0.5207806825637817,0.6809356808662415,0.5734097361564636,0.4052208960056305,0.42790499329566956
8,1.3766463994979858,0.548341691493988,0.40055423974990845,0.5276607871055603,0.6902009844779968,0.5292432904243469,0.39222314953804016,0.5903307795524597
9,1.376870036125183,0.5413568019866943,0.39695754647254944,0.542263388633728,0.6930702924728394,0.5137172341346741,0.3897917866706848,0.6509754061698914
10,1.376129150390625,0.545025110244751,0.40030959248542786,0.5446503758430481,0.6817432045936584,0.5538136959075928,0.4011169373989105,0.5178117156028748
11,1.3754886388778687,0.5455276370048523,0.40237706899642944,0.556164026260376,0.6893884539604187,0.5330117344856262,0.395361989736557,0.5928753018379211
12,1.3749332427978516,0.5421105623245239,0.4006787836551666,0.5636057257652283,0.6901354789733887,0.5242689251899719,0.3908643424510956,0.60602205991745
13,1.3754868507385254,0.540452241897583,0.39839276671409607,0.5568660497665405,0.6971747279167175,0.49683448672294617,0.3863636255264282,0.7065309882164001
14,1.3750282526016235,0.5415075421333313,0.4007338285446167,0.5673968195915222,0.6782242655754089,0.5737111568450928,0.41218236088752747,0.4677692949771881
15,1.373597264289856,0.5516080260276794,0.4067322611808777,0.5513900518417358,0.688412606716156,0.5275851488113403,0.3968085050582886,0.6327396035194397
16,1.374559760093689,0.5391959547996521,0.4011010229587555,0.583122730255127,0.6858437657356262,0.5322580933570862,0.398140549659729,0.6174724102020264
17,1.372909665107727,0.5383417010307312,0.4020305573940277,0.5949171781539917,0.6917698383331299,0.5186915993690491,0.3941161632537842,0.6590330600738525
18,1.3730387687683105,0.5465326905250549,0.40565475821495056,0.57413649559021,0.6927381157875061,0.5067832469940186,0.391294002532959,0.6976251006126404
19,1.3716309070587158,0.5317587852478027,0.3993399441242218,0.6116259694099426,0.6722033619880676,0.5803436636924744,0.41763341426849365,0.4580152630805969
20,1.3717330694198608,0.5409045219421387,0.40551698207855225,0.6068519949913025,0.6881521344184875,0.5247211456298828,0.393971711397171,0.6263782978057861
21,1.3720552921295166,0.5336683392524719,0.4013170003890991,0.6161190867424011,0.6832709908485413,0.5462767481803894,0.40115222334861755,0.5610687136650085
22,1.3716150522232056,0.5382412075996399,0.402820885181427,0.6015164256095886,0.680672287940979,0.5417546033859253,0.3996468484401703,0.5759117603302002
23,1.3689723014831543,0.5400000214576721,0.4047797620296478,0.6064307689666748,0.6869888305664062,0.5247211456298828,0.39374497532844543,0.6246819496154785
24,1.3699369430541992,0.5386934876441956,0.40375980734825134,0.6061499714851379,0.674481213092804,0.5631594657897949,0.40841248631477356,0.5106021761894226
25,1.3708707094192505,0.5367336869239807,0.40369248390197754,0.6171019673347473,0.6867600083351135,0.5296955108642578,0.39691558480262756,0.6221374273300171
