epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.3893553018569946,0.483869343996048,0.3635023832321167,0.5887390971183777,0.6834732890129089,0.5887850522994995,0.40159574151039124,0.320186585187912
2,1.3862990140914917,0.5156281590461731,0.37616845965385437,0.5367873907089233,0.680190920829773,0.619686484336853,0.41433021426200867,0.16921119391918182
3,1.385029673576355,0.5134673118591309,0.37495115399360657,0.5388935804367065,0.7066848278045654,0.41377750039100647,0.36323028802871704,0.8621713519096375
4,1.3841779232025146,0.5125125646591187,0.3784293532371521,0.5636057257652283,0.6972541213035583,0.45598432421684265,0.3639329969882965,0.7094995975494385
5,1.3831501007080078,0.512311577796936,0.3780798614025116,0.5623420476913452,0.6994147300720215,0.4641242027282715,0.3785264790058136,0.7909244894981384
6,1.3798290491104126,0.5261306762695312,0.38635021448135376,0.5508283972740173,0.6908999085426331,0.5054265856742859,0.3828977346420288,0.6399490833282471
7,1.378548502922058,0.5352261066436768,0.3926299810409546,0.546054482460022,0.6776564121246338,0.582001805305481,0.4047728180885315,0.37404578924179077
8,1.3813782930374146,0.5285929441452026,0.3886204659938812,0.5533558130264282,0.6962476372718811,0.47166115045547485,0.37080422043800354,0.6980491876602173
9,1.3792293071746826,0.5241206288337708,0.38819047808647156,0.5723111629486084,0.689383864402771,0.509797990322113,0.38359373807907104,0.6246819496154785
10,1.3859349489212036,0.5029647946357727,0.3753039836883545,0.5850884318351746,0.6921380162239075,0.5322580933570862,0.3914943337440491,0.5699745416641235
11,1.3837827444076538,0.5229648351669312,0.3816039264202118,0.5365065932273865,0.6884876489639282,0.5458245277404785,0.3957338333129883,0.5271416306495667
12,1.3811001777648926,0.5186934471130371,0.3855118453502655,0.5805953145027161,0.6846705079078674,0.5714501142501831,0.39891621470451355,0.40585240721702576
13,1.3815826177597046,0.5436180830001831,0.386442631483078,0.4682673513889313,0.6850633025169373,0.5562254786491394,0.3953571319580078,0.4694656431674957
14,1.378623127937317,0.5448241233825684,0.39688965678215027,0.5231676697731018,0.700986385345459,0.4715104103088379,0.3754880726337433,0.7340967059135437
15,1.3788090944290161,0.5417085289955139,0.3954583406448364,0.5306093692779541,0.6945280432701111,0.5328609943389893,0.38461539149284363,0.5237489342689514
16,1.378713607788086,0.5369346737861633,0.3947712481021881,0.551249623298645,0.6940802335739136,0.5173349380493164,0.3799772560596466,0.5665818452835083
17,1.380294680595398,0.5247235894203186,0.3888254463672638,0.5735748410224915,0.6902281045913696,0.5444678664207458,0.39440202713012695,0.5258693695068359
18,1.3772577047348022,0.5360301733016968,0.3929404616355896,0.5439483523368835,0.6955581307411194,0.5021103620529175,0.38444608449935913,0.6666666865348816
19,1.3781706094741821,0.5265828967094421,0.3912179470062256,0.58045494556427,0.6835624575614929,0.5417546033859253,0.3897866904735565,0.5114504098892212
20,1.376706600189209,0.5461306571960449,0.39827439188957214,0.5249930024147034,0.7010016441345215,0.48447391390800476,0.3826778531074524,0.7345207929611206
21,1.3787660598754883,0.5242211222648621,0.3883495032787323,0.5728728175163269,0.6892423033714294,0.5361772775650024,0.3910936117172241,0.5474978685379028
22,1.3777121305465698,0.5319597721099854,0.3929896652698517,0.565150260925293,0.6859897375106812,0.5372324585914612,0.38734176754951477,0.5190839767456055
23,1.3778975009918213,0.5376884341239929,0.39436763525009155,0.5446503758430481,0.686063289642334,0.5450708270072937,0.39361703395843506,0.5178117156028748
24,1.376647710800171,0.5300502777099609,0.39157915115356445,0.5654310584068298,0.683432936668396,0.5598432421684265,0.397743821144104,0.46352842450141907
25,1.3773353099822998,0.5304522514343262,0.3932757079601288,0.5748385190963745,0.6883606910705566,0.5316551327705383,0.3912917375564575,0.5716708898544312
