epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.386554479598999,0.5725226402282715,0.22487235069274902,0.3866800367832184,0.6929440498352051,0.5499173402786255,0.23457962274551392,0.4665911793708801
2,1.382790207862854,0.512548565864563,0.2333059012889862,0.5332998633384705,0.7152809500694275,0.34090909361839294,0.22552050650119781,0.8259720802307129
3,1.3822137117385864,0.5336235165596008,0.23870930075645447,0.5131067633628845,0.6934229731559753,0.5135537385940552,0.23410546779632568,0.5379388332366943
4,1.380996584892273,0.54323810338974,0.24083107709884644,0.5015677809715271,0.6765364408493042,0.6235536932945251,0.23918992280960083,0.32993581891059875
5,1.3797191381454468,0.5603460073471069,0.24550668895244598,0.4831305742263794,0.693893551826477,0.5190082788467407,0.23526465892791748,0.5318988561630249
6,1.3808894157409668,0.5366814732551575,0.2397764027118683,0.5110999345779419,0.7066267728805542,0.44066116213798523,0.23201040923595428,0.6730841994285583
7,1.3798389434814453,0.5454420447349548,0.24127677083015442,0.49868306517601013,0.7099474668502808,0.3859504163265228,0.2288145273923874,0.761419415473938
8,1.3801485300064087,0.5306482315063477,0.24105817079544067,0.5291609168052673,0.6965612769126892,0.49000000953674316,0.23188185691833496,0.5749339461326599
9,1.3797494173049927,0.5634865760803223,0.24540750682353973,0.4758560061454773,0.7038512825965881,0.46504130959510803,0.23153609037399292,0.6224990487098694
10,1.3786687850952148,0.5209234356880188,0.2412201166152954,0.5504828691482544,0.6810407042503357,0.604380190372467,0.239395409822464,0.3707059323787689
11,1.3786749839782715,0.5605112910270691,0.24390244483947754,0.476608544588089,0.7047085762023926,0.4580991864204407,0.23018503189086914,0.6292940974235535
12,1.3793261051177979,0.5544229745864868,0.24510474503040314,0.4945440888404846,0.6985535621643066,0.5098347067832947,0.2337767630815506,0.5439788699150085
13,1.3788814544677734,0.56111741065979,0.24726879596710205,0.48827293515205383,0.684128999710083,0.5732231140136719,0.2380754053592682,0.43148356676101685
14,1.3781450986862183,0.55031818151474,0.24684695899486542,0.5105982422828674,0.6939259171485901,0.49198347330093384,0.23232322931289673,0.5730464458465576
15,1.3780182600021362,0.5402628183364868,0.24351049959659576,0.5188761949539185,0.6950409412384033,0.48264461755752563,0.2320023775100708,0.5900339484214783
16,1.3780624866485596,0.5283065438270569,0.2439979910850525,0.5468456149101257,0.6682806611061096,0.6278512477874756,0.24048152565956116,0.32427331805229187
17,1.3785406351089478,0.5463511347770691,0.24366247653961182,0.5063338875770569,0.668755054473877,0.6161983609199524,0.23839496076107025,0.3431483507156372
18,1.3777880668640137,0.5365437269210815,0.24475081264972687,0.5321710705757141,0.678684651851654,0.5839669704437256,0.24182723462581635,0.42166855931282043
19,1.3782591819763184,0.5351111888885498,0.242746502161026,0.5267778635025024,0.6706810593605042,0.635454535484314,0.24508102238178253,0.3197433054447174
20,1.377034068107605,0.5455797910690308,0.24414555728435516,0.5099711418151855,0.6796900629997253,0.5763636231422424,0.2395373284816742,0.4299735724925995
21,1.3770666122436523,0.5372048616409302,0.24381747841835022,0.5267778635025024,0.67130047082901,0.6098347306251526,0.24190333485603333,0.3665534257888794
22,1.3765451908111572,0.5442849397659302,0.2475399225950241,0.5269032716751099,0.6959211826324463,0.49561983346939087,0.23241400718688965,0.5662513971328735
23,1.376068353652954,0.525827169418335,0.24608366191387177,0.5615201592445374,0.6927316188812256,0.5080991983413696,0.23202985525131226,0.5398263335227966
24,1.3752552270889282,0.5302074551582336,0.24551568925380707,0.549354076385498,0.6766806840896606,0.5662810206413269,0.23343589901924133,0.42959606647491455
25,1.3757665157318115,0.5357998609542847,0.2461538463830948,0.5398219227790833,0.6884873509407043,0.5249586701393127,0.23616550862789154,0.5235937833786011
