epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.3868563175201416,0.5380567312240601,0.2913822531700134,0.46148648858070374,0.6744844317436218,0.6016351580619812,0.2921847105026245,0.3481481373310089
2,1.3867472410202026,0.4427739083766937,0.28515625,0.6658783555030823,0.6932838559150696,0.5204398036003113,0.28300803899765015,0.5216931104660034
3,1.3862807750701904,0.49539560079574585,0.28451359272003174,0.5375000238418579,0.6913124918937683,0.4539047181606293,0.2737226188182831,0.6349206566810608
4,1.3856817483901978,0.4384514093399048,0.282583624124527,0.662162184715271,0.6883516311645508,0.4798421263694763,0.2758964002132416,0.5862433910369873
5,1.3849958181381226,0.44690847396850586,0.28579795360565186,0.6594594717025757,0.7012577652931213,0.30871158838272095,0.27269986271858215,0.9566137790679932
6,1.385729193687439,0.519921064376831,0.28752225637435913,0.4912162125110626,0.6937289834022522,0.37242740392684937,0.27327433228492737,0.8169311881065369
7,1.3853058815002441,0.4360082745552063,0.28413283824920654,0.6763513684272766,0.6935220956802368,0.368762344121933,0.27314165234565735,0.8243386149406433
8,1.3844809532165527,0.4480360746383667,0.28981533646583557,0.678716242313385,0.698235809803009,0.39159852266311646,0.2784070074558258,0.8063492178916931
9,1.3852351903915405,0.44700244069099426,0.28552573919296265,0.6577702760696411,0.6876209378242493,0.4826613962650299,0.2759315073490143,0.5798941850662231
10,1.3835501670837402,0.4817703366279602,0.2968675494194031,0.6307432651519775,0.6987231969833374,0.4344516396522522,0.27831172943115234,0.7047619223594666
11,1.383512258529663,0.48909980058670044,0.294780433177948,0.6010135412216187,0.7054305076599121,0.3526924252510071,0.276250422000885,0.882539689540863
12,1.3821467161178589,0.45301634073257446,0.2932504713535309,0.6854729652404785,0.6926611661911011,0.4493938684463501,0.28143972158432007,0.6867724657058716
13,1.3815586566925049,0.4661717712879181,0.2955057919025421,0.6641891598701477,0.6667906641960144,0.6148858070373535,0.295432448387146,0.3216931223869324
14,1.3834015130996704,0.47387710213661194,0.29164692759513855,0.6239864826202393,0.6835619211196899,0.5260784029960632,0.2925591766834259,0.5492063760757446
15,1.3822358846664429,0.4937041997909546,0.2945854365825653,0.5881756544113159,0.689507007598877,0.48914575576782227,0.28843337297439575,0.6253968477249146
16,1.3822593688964844,0.48985153436660767,0.2977224290370941,0.6138513684272766,0.6870833039283752,0.5029602646827698,0.290685772895813,0.6010581851005554
17,1.3793398141860962,0.47444090247154236,0.30056053400039673,0.6702702641487122,0.6947232484817505,0.4336058497428894,0.28391551971435547,0.7396825551986694
18,1.3790010213851929,0.48581093549728394,0.29891130328178406,0.6307432651519775,0.717765748500824,0.3538201153278351,0.2752752900123596,0.8730158805847168
19,1.3809549808502197,0.4724675714969635,0.296347439289093,0.6523648500442505,0.6790699362754822,0.5506061315536499,0.30177152156829834,0.5227513313293457
20,1.3800591230392456,0.5115579962730408,0.298885703086853,0.5618243217468262,0.6981269717216492,0.4516492784023285,0.2884940803050995,0.7216930985450745
21,1.3791861534118652,0.4717158377170563,0.29722729325294495,0.6591216325759888,0.6929565668106079,0.49281081557273865,0.29530200362205505,0.6518518328666687
22,1.3780490159988403,0.5026310682296753,0.2993980944156647,0.5881756544113159,0.6772086024284363,0.5847194790840149,0.3122332990169525,0.464550256729126
23,1.3785725831985474,0.4900394678115845,0.3017837107181549,0.6344594359397888,0.6883468627929688,0.5232591032981873,0.29437705874443054,0.565079391002655
24,1.377921462059021,0.5315729975700378,0.30834752321243286,0.5503378510475159,0.6897322535514832,0.49027347564697266,0.28940945863723755,0.6275132298469543
25,1.3778437376022339,0.5136252641677856,0.304101824760437,0.5810810923576355,0.6895750761032104,0.5091626644134521,0.2944214940071106,0.60317462682724
