epoch,loss,categorical_accuracy,precision,recall,val_loss,val_categorical_accuracy,val_precision,val_recall
1,3.226639986038208,0.4535405933856964,0.7410611510276794,0.06628941744565964,1.0664021968841553,0.4419662654399872,0.7953136563301086,0.1015741378068924
2,3.202448606491089,0.45940953493118286,0.7235184907913208,0.09945426136255264,1.0834730863571167,0.43080103397369385,0.6079891920089722,0.13909578323364258
3,3.1857492923736572,0.46168196201324463,0.7059511542320251,0.11610378324985504,1.0805057287216187,0.41748863458633423,0.6750062108039856,0.10934417694807053
4,3.1691136360168457,0.4597316086292267,0.6816278100013733,0.13104450702667236,1.076259970664978,0.4158514142036438,0.6110507249832153,0.12065703421831131
5,3.150571823120117,0.46352940797805786,0.6608754992485046,0.14701856672763824,1.0958658456802368,0.4058536887168884,0.5467021465301514,0.1240253895521164
6,3.1302731037139893,0.46734511852264404,0.6358584761619568,0.16430775821208954,1.0898813009262085,0.41402631998062134,0.5296655893325806,0.15813840925693512
7,3.109354257583618,0.4698769748210907,0.6164142489433289,0.18004921078681946,1.0802702903747559,0.4234067499637604,0.5699783563613892,0.17330273985862732
8,3.08371639251709,0.4750615060329437,0.6091757416725159,0.1989174634218216,1.10298490524292,0.4081619083881378,0.4952349364757538,0.159695103764534
9,3.0529582500457764,0.4792395532131195,0.5976670384407043,0.21979869902133942,1.075211763381958,0.43139150738716125,0.5309805870056152,0.16778720915317535
10,3.022397994995117,0.4831089377403259,0.5908337831497192,0.2393200695514679,1.080493450164795,0.43683990836143494,0.5195303559303284,0.207227885723114
11,2.9901890754699707,0.488042950630188,0.5856400728225708,0.25817936658859253,1.0871402025222778,0.42835864424705505,0.4858405292034149,0.22723673284053802
12,2.9523134231567383,0.4944799840450287,0.5821346640586853,0.2766226828098297,1.1103720664978027,0.4151938557624817,0.4634358882904053,0.2213723063468933
13,2.9140427112579346,0.49966898560523987,0.5834643840789795,0.2954462170600891,1.0766003131866455,0.4486895501613617,0.49615952372550964,0.25745803117752075
14,2.8717710971832275,0.5071751475334167,0.5838462114334106,0.3153030574321747,1.1190919876098633,0.41013461351394653,0.4431304931640625,0.234335795044899
15,2.831181764602661,0.5116036534309387,0.5834507942199707,0.3295459747314453,1.1641359329223633,0.3852543830871582,0.4044320583343506,0.22997437417507172
16,2.7899012565612793,0.5169313549995422,0.58536696434021,0.34346678853034973,1.1655653715133667,0.401317834854126,0.42307862639427185,0.25531086325645447
17,2.750629425048828,0.5236278176307678,0.5882555842399597,0.3589845597743988,1.1560313701629639,0.41968947649002075,0.4468476176261902,0.2805802822113037
18,2.709105968475342,0.5299530029296875,0.5915766954421997,0.3727846145629883,1.1997098922729492,0.39533260464668274,0.41522055864334106,0.2706899046897888
19,2.668339490890503,0.5365466475486755,0.5963746309280396,0.386620432138443,1.1787371635437012,0.41135579347610474,0.4290931224822998,0.28224432468414307
20,2.6330795288085938,0.5417758822441101,0.6005188822746277,0.39966002106666565,1.2120814323425293,0.39641961455345154,0.4110540747642517,0.2739643156528473
21,2.588939905166626,0.54958176612854,0.6065181493759155,0.41257885098457336,1.279697060585022,0.36147457361221313,0.36565935611724854,0.24763476848602295
22,2.5507426261901855,0.5538268685340881,0.609129011631012,0.42348021268844604,1.2802482843399048,0.3735926151275635,0.3814539909362793,0.2667981684207916
23,2.5105762481689453,0.5610109567642212,0.6143896579742432,0.43558040261268616,1.2775522470474243,0.4002174139022827,0.4096832275390625,0.2966034710407257
24,2.4776453971862793,0.5661686658859253,0.617010235786438,0.4466651678085327,1.2616409063339233,0.393078088760376,0.39892494678497314,0.2838412821292877
25,2.443164825439453,0.5722299218177795,0.622116208076477,0.4562111496925354,1.28474760055542,0.40271347761154175,0.41416236758232117,0.3083055019378662
