epoch,loss,precision
1,29.327363967895508,0.4230262339115143
2,28.36499786376953,0.4331235885620117
3,27.99942970275879,0.43640464544296265
4,27.72376823425293,0.44485071301460266
5,27.471969604492188,0.4448217749595642
6,27.26104736328125,0.4550725221633911
7,26.975971221923828,0.45632752776145935
8,26.869911193847656,0.4591625928878784
9,26.465782165527344,0.4601779580116272
10,26.418020248413086,0.4625752568244934
11,26.28962516784668,0.45720377564430237
12,26.09586524963379,0.4559805989265442
13,25.937171936035156,0.4613140821456909
14,25.866561889648438,0.45520785450935364
15,25.51961326599121,0.4652739465236664
16,25.325151443481445,0.468551903963089
17,25.379772186279297,0.46922770142555237
18,25.339191436767578,0.4667447805404663
19,25.286972045898438,0.46581727266311646
20,25.290075302124023,0.4623018205165863
21,25.358478546142578,0.4692559838294983
22,25.198381423950195,0.473776251077652
23,24.813587188720703,0.4713278114795685
24,25.081127166748047,0.4671509861946106
25,25.07004737854004,0.46894949674606323
26,24.801733016967773,0.47061991691589355
27,24.82656478881836,0.4708324074745178
28,25.084741592407227,0.46949654817581177
29,24.917282104492188,0.4641457498073578
30,24.234294891357422,0.47990769147872925
