epoch,loss,accuracy,precision,recall,val_loss,val_accuracy,val_precision,val_recall
1,1.3985220193862915,0.5224549174308777,0.2813127934932709,0.4801829159259796,0.698399007320404,0.2591434717178345,0.2591434717178345,1.0
2,1.3951317071914673,0.46524956822395325,0.27742278575897217,0.5956555008888245,0.6725614070892334,0.7408565282821655,0.0,0.0
3,1.3936623334884644,0.5226633548736572,0.26484018564224243,0.41996949911117554,0.7034879922866821,0.2591434717178345,0.2591434717178345,1.0
4,1.393436312675476,0.454725444316864,0.27053651213645935,0.5861280560493469,0.682438313961029,0.7408565282821655,0.0,0.0
5,1.3910709619522095,0.5156819820404053,0.2740062475204468,0.46760669350624084,0.6873100996017456,0.7408565282821655,0.0,0.0
6,1.388292670249939,0.5288110971450806,0.27868470549583435,0.4554115831851959,0.6980772614479065,0.2591434717178345,0.2591434717178345,1.0
7,1.3896093368530273,0.45024487376213074,0.2745664715766907,0.6154725551605225,0.6832456588745117,0.7408565282821655,0.0,0.0
8,1.389621376991272,0.49734291434288025,0.2691015899181366,0.4885670840740204,0.6892984509468079,0.7408565282821655,0.0,0.0
9,1.389225721359253,0.4743148982524872,0.27008548378944397,0.5419207215309143,0.693626344203949,0.4016880393028259,0.25770431756973267,0.6960192918777466
10,1.3897253274917603,0.4873397946357727,0.2665717899799347,0.49961888790130615,0.6953897476196289,0.2591434717178345,0.2591434717178345,1.0
11,1.3873919248580933,0.4353443682193756,0.27405011653900146,0.6459603905677795,0.6897584795951843,0.7408565282821655,0.0,0.0
12,1.3876311779022217,0.5665311813354492,0.26923078298568726,0.3414634168148041,0.6944668889045715,0.2622694671154022,0.2596546411514282,0.9975874423980713
13,1.3877383470535278,0.4719183146953583,0.2731997072696686,0.5609756112098694,0.7016144394874573,0.2591434717178345,0.2591434717178345,1.0
14,1.3883862495422363,0.4461810886859894,0.26956671476364136,0.5998475551605225,0.6930868625640869,0.540168821811676,0.26044777035713196,0.42098915576934814
15,1.3879334926605225,0.4698343276977539,0.2718518376350403,0.5594512224197388,0.6935229301452637,0.42106908559799194,0.25561395287513733,0.6453558206558228
16,1.3876490592956543,0.44670209288597107,0.2708190977573395,0.6048018336296082,0.6917348504066467,0.7167865037918091,0.3045685291290283,0.07237635552883148
17,1.3869339227676392,0.4893195927143097,0.2735229730606079,0.5240091681480408,0.6930829286575317,0.5351672172546387,0.25915080308914185,0.42702051997184753
18,1.387934684753418,0.49682191014289856,0.2709328830242157,0.49695122241973877,0.6900753974914551,0.7408565282821655,0.0,0.0
19,1.3858736753463745,0.5324580669403076,0.2782670855522156,0.4455030560493469,0.698499858379364,0.2591434717178345,0.2591434717178345,1.0
20,1.3857464790344238,0.45701780915260315,0.27601730823516846,0.6074694991111755,0.6918491721153259,0.6595811247825623,0.2861842215061188,0.2098914384841919
21,1.387525200843811,0.43232259154319763,0.2680683434009552,0.6219512224197388,0.6916775703430176,0.6602063179016113,0.2775862216949463,0.19420988857746124
22,1.387055516242981,0.5123475790023804,0.27406594157218933,0.4752286672592163,0.6906534433364868,0.7383557558059692,0.25,0.0048250905238091946
23,1.3867197036743164,0.5078670382499695,0.27258938550949097,0.4794207215309143,0.6925376057624817,0.6001875400543213,0.27040815353393555,0.3196622431278229
24,1.3871982097625732,0.448056697845459,0.27281999588012695,0.6116616129875183,0.6922503113746643,0.6242575645446777,0.2728379964828491,0.2702050805091858
25,1.3868401050567627,0.5106804370880127,0.27310556173324585,0.4752286672592163,0.7006999850273132,0.2591434717178345,0.2591434717178345,1.0
